amount0,amount1,liquidity,tick,timestamp
14688873640395279027,-14688344,600721178376759721339,-276325,2026-07-18 13:49:11.000 UTC
281262879754444714976626,-281121096839,600721178376759721339,-276325,2026-07-18 13:49:11.000 UTC
-2000000000000000000000,1980155397,39805536872411337353,-276424,2026-07-18 13:49:11.000 UTC
9332210920389494506,-9331875,600721178376759721339,-276325,2026-07-18 13:50:11.000 UTC
-18695788425450134290,18694179,600721178376759721339,-276325,2026-07-18 13:54:11.000 UTC
2865995032609763738123,-2865905192,600721178376759721339,-276325,2026-07-18 14:25:47.000 UTC
-1044400240701438000000,1044318450,600721178376759721339,-276325,2026-07-18 14:39:59.000 UTC
4100095239080846574786,-4100000000,600721178376759721339,-276325,2026-07-18 14:41:47.000 UTC
-90289961000000000000,90283944,600721178376759721339,-276325,2026-07-18 14:43:59.000 UTC
-25808957728855430581,25807242,600721178376759721339,-276325,2026-07-18 14:43:59.000 UTC
-5458581823750000000000,5458167658,600721178376759721339,-276325,2026-07-18 14:44:11.000 UTC
-201841718000000000000,201824501,600721178376759721339,-276325,2026-07-18 14:44:35.000 UTC
148100275271652864017,-148095035,600721178376759721339,-276325,2026-07-18 14:44:35.000 UTC
1335696325916840235,-1335650,600721178376759721339,-276325,2026-07-18 14:45:35.000 UTC
-497802271472799000000,497759479,600721178376759721339,-276325,2026-07-18 14:58:23.000 UTC
247134373461993744170,-247125383,600721178376759721339,-276325,2026-07-18 15:00:47.000 UTC
1693093645594441103107,-1693037515,600721178376759721339,-276325,2026-07-18 15:09:35.000 UTC
-9910185115000000000000,9909225541,600721178376759721339,-276325,2026-07-18 15:12:35.000 UTC
200161448296134703942,-200148840,600721178376759721339,-276325,2026-07-18 15:18:23.000 UTC
-545557543142104760320,545496575,600721178376759721339,-276325,2026-07-18 15:36:47.000 UTC
543976650992826719062,-543943059,600721178376759721339,-276325,2026-07-18 15:36:47.000 UTC
91667626022630100002,-91661966,600721178376759721339,-276325,2026-07-18 15:41:59.000 UTC
228755847212554051400,-228741600,600721178376759721339,-276325,2026-07-18 15:41:59.000 UTC
225719278551247286860,-225705460,600721178376759721339,-276325,2026-07-18 15:49:11.000 UTC
293875431830059628592,-293857695,600721178376759721339,-276325,2026-07-18 15:52:23.000 UTC
160721470821000521665,-160711892,600721178376759721339,-276325,2026-07-18 15:54:35.000 UTC
87382713375010879460,-87377542,600721178376759721339,-276325,2026-07-18 15:55:47.000 UTC
388347489799682558425,-388324813,600721178376759721339,-276325,2026-07-18 16:01:59.000 UTC
-10268465639555375810,10267359,600721178376759721339,-276325,2026-07-18 16:02:11.000 UTC
4589995932428963916,-4589731,600721178376759721339,-276325,2026-07-18 16:07:23.000 UTC
72879451127943145266,-72875250,600721178376759721339,-276325,2026-07-18 16:17:47.000 UTC
37679214067850580792,-37677049,600721178376759721339,-276325,2026-07-18 16:25:23.000 UTC
1795597699753848368650,-1795500000,600721178376759721339,-276325,2026-07-18 16:31:11.000 UTC
19163002842966581042,-19162019,600721178376759721339,-276325,2026-07-18 16:33:23.000 UTC
-8000000000000000000,7999189,600721178376759721339,-276325,2026-07-18 16:45:47.000 UTC
