timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity,pool_price,usdc_price,oracle_price,dev_bps,token0,token1,usdc_sold_into_pool,swap_direction,peg_below,is_drain,swap_size_usd,drain_volume_usd
2026-05-01 03:22:00,114299292858,-114302548746,1.0,1.0,1.0,1.0,114299292858,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,114299.292858,114299.292858
2026-05-01 03:23:00,7236410759,-7236588683,1.0,1.0,1.0,1.0,7332388952,96000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,7428.388952,7428.388952
2026-05-01 03:24:00,820473459,-820495740,1.0,1.0,1.0,1.0,820473459,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,820.473459,820.473459
2026-05-01 03:25:00,284322141,-284329858,1.0,1.0,1.0,1.0,284322141,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,284.322141,284.322141
2026-05-01 03:28:00,22876051490,-22876667072,1.0,1.0,1.0,1.0,22876051490,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,22876.05149,22876.05149
2026-05-01 03:29:00,1593402774,-1593445251,1.0,1.0,1.0,1.0,1593402774,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1593.402774,1593.402774
2026-05-01 03:30:00,701550003,-701568688,1.0,1.0,1.0,1.0,701550003,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,701.550003,701.550003
2026-05-01 03:31:00,1614733704,-1614776674,1.0,1.0,1.0,1.0,1614733704,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1614.733704,1614.733704
2026-05-01 03:36:00,11738749655,-11739056834,1.0,1.0,1.0,1.0,11756745580,18000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,11774.74558,11774.74558
2026-05-01 03:37:00,1162210671,-1162241285,1.0,1.0,1.0,1.0,1162210671,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1162.210671,1162.210671
2026-05-01 03:38:00,18829565212,-18830057375,1.0,1.0,1.0,1.0,18829565212,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,18829.565212,18829.565212
2026-05-01 03:39:00,795187705,-795193327,1.0,1.0,1.0,1.0,870170760,75000000,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,945.17076,945.17076
2026-05-01 03:40:00,-296848181,296915260,1.0,1.0,1.0,1.0,0,296915260,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,296.91526,0.0
2026-05-01 03:44:00,7834000000,-7834202544,1.0,1.0,1.0,1.0,7834000000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,7834.0,7834.0
2026-05-01 03:45:00,-1188134492,1188402800,1.0,1.0,1.0,1.0,0,1188402800,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,False,buy_usdc,True,False,1188.4028,0.0
2026-05-01 03:49:00,1000031523,-1000057311,1.0,1.0,1.0,1.0,1000031523,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1000.031523,1000.031523
2026-05-01 03:52:00,1737956070,-1738000839,1.0,1.0,1.0,1.0,1737956070,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,1737.95607,1737.95607
2026-05-01 03:54:00,2269200000,-2269258362,1.0,1.0,1.0,1.0,2269200000,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,2269.2,2269.2
2026-05-01 03:55:00,169404642,-169408994,1.0,1.0,1.0,1.0,169404642,0,97616165795274506,1.0,0.99973,0.99973,2.6999999999999247,USDC,USDT,True,sell_usdc,True,True,169.404642,169.404642
